flight_id,N,mean_dev,max_dev,duration_min
2025-11-07 11-11-25.bin,2261,1.5567123938184375,9.505018322832724,51.40296495
2025-11-10 11-57-42.bin,2280,0.46448579921446753,8.340656785304478,48.419649533333335
2025-11-13 11-35-28.bin,2243,1.316309240184648,13.242570817475205,48.01960831666667
2025-11-14 11-02-16.bin,3102,6.273886839551387,48.440924504997504,95.46899725
2025-11-17 11-53-06.bin,2343,6.1035100092632755,34.978161284264985,46.552915549999994
2025-11-18 11-11-14.bin,2226,2.04873260730954,19.095168066581955,44.98625676666666
2025-11-19 10-58-38.bin,2240,2.139870651480442,15.463714215780147,43.103269950000005
2025-11-21 11-10-59.bin,2261,1.4427931665883924,11.178770958252185,49.08624698333333
2025-11-22 11-24-26.bin,2213,3.41204613343338,29.88790318203887,45.45295815
2025-11-23 11-21-27.bin,2358,3.2073034997159415,19.877731300545726,45.28659411666667
2025-11-23 15-25-04.bin,1176,2.8772616155739357,14.472362002549145,19.803225716666667
2025-11-24 11-47-24.bin,2219,2.800491345365234,20.17382467657043,43.6032246
2025-11-25 11-26-54.bin,2217,2.0191192894987164,13.859917501289933,44.586249566666666
2025-11-26 10-54-52.bin,30,11.602305130995644,11.712606689801538,0.5666670166666666
2025-11-26 10-59-27.bin,2247,1.972500483281576,14.244656931822828,43.6030279
